# code name : Parallel Tempering for 2D Ferromagnetic Ising Model
# author : Andrew Noble
# version : v0.1
# inspired by : Prof. Helmut Katzgraber

# system size : 20
# number of spins : 400
# space dimension : 2
# lattice coordination number : 4
# process ID : 12523
# hostname : Andrews-MacBook-Pro-4.local
# job start : Sun Mar  1 23:14:55 2020

# temperature set
# | 0.10
# | 0.13
# | 0.16
# | 0.20
# | 0.25
# | 0.32
# | 0.40
# | 0.50
# | 0.63
# | 0.79
# | 1.00
# | 1.26
# | 1.58
# | 2.00
# | 2.51
# | 3.16
# | 3.98
# | 5.01
# | 6.31
# | 7.94
# | 10.00

# T MCS <energy> <m>
0.1000 1000 -2.0000 1.0000
0.1300 1000 -2.0000 1.0000
0.1600 1000 -2.0000 1.0000
0.2000 1000 -2.0000 1.0000
0.2500 1000 -2.0000 1.0000
0.3200 1000 -2.0000 1.0000
0.4000 1000 -2.0000 1.0000
0.5000 1000 -2.0000 1.0000
0.6300 1000 -2.0000 1.0000
0.7900 1000 -2.0000 1.0000
1.0000 1000 -2.0000 1.0000
1.2600 1000 -2.0000 1.0000
1.5800 1000 -1.8900 0.9700
2.0000 1000 -1.7000 0.8950
2.5100 1000 -0.9400 0.0050
3.1600 1000 -0.8700 0.0200
3.9800 1000 -0.6400 0.0500
5.0100 1000 -0.4800 0.0650
6.3100 1000 -0.2600 0.0200
7.9400 1000 -0.2500 0.0400
10.0000 1000 -0.1800 0.0750

0.1000 2000 -2.0000 1.0000
0.1300 2000 -2.0000 1.0000
0.1600 2000 -2.0000 1.0000
0.2000 2000 -2.0000 1.0000
0.2500 2000 -2.0000 1.0000
0.3200 2000 -2.0000 1.0000
0.4000 2000 -2.0000 1.0000
0.5000 2000 -2.0000 1.0000
0.6300 2000 -2.0000 1.0000
0.7900 2000 -1.9800 0.9950
1.0000 2000 -1.9800 0.9950
1.2600 2000 -1.9800 0.9950
1.5800 2000 -1.9800 0.9950
2.0000 2000 -1.7800 0.9400
2.5100 2000 -1.2400 0.0550
3.1600 2000 -0.7300 0.1250
3.9800 2000 -0.4500 0.0200
5.0100 2000 -0.4400 0.0050
6.3100 2000 -0.3200 0.0600
7.9400 2000 -0.3100 0.0100
