# code name : Parallel Tempering for 2D Ferromagnetic Ising Model
# author : Andrew Noble
# version : v0.1
# inspired by : Prof. Helmut Katzgraber

# system size : 20
# number of spins : 400
# space dimension : 2
# lattice coordination number : 4
# process ID : 12675
# hostname : Andrews-MacBook-Pro-4.local
# job start : Sun Mar  1 23:20:46 2020

# temperature set
# | 0.10
# | 1.40
# | 1.65
# | 1.85
# | 2.04
# | 2.18
# | 2.26
# | 2.27
# | 2.28
# | 2.29
# | 2.32
# | 2.37
# | 2.44
# | 2.55
# | 2.70
# | 2.90
# | 3.25
# | 3.70
# | 4.60
# | 6.20
# | 10.00

# T MCS <energy> <m>
0.1000 1000 -2.0000 1.0000
1.4000 1000 -1.9800 0.9950
1.6500 1000 -1.9600 0.9900
1.8500 1000 -1.8300 0.9400
2.0400 1000 -1.7100 0.9200
2.1800 1000 -1.5300 0.8000
2.2600 1000 -1.2100 0.6050
2.2700 1000 -1.4300 0.7250
2.2800 1000 -1.1800 0.4850
2.2900 1000 -1.3800 0.7850
2.3200 1000 -1.4000 0.8000
2.3700 1000 -1.2900 0.7000
2.4400 1000 -1.1100 0.0350
2.5500 1000 -0.9000 0.1900
2.7000 1000 -0.8100 0.1650
2.9000 1000 -0.9900 0.2850
3.2500 1000 -0.6000 0.0850
3.7000 1000 -0.6100 0.0450
4.6000 1000 -0.6900 0.0100
6.2000 1000 -0.3500 0.0800
10.0000 1000 -0.2500 0.1700

0.1000 2000 -2.0000 1.0000
1.4000 2000 -1.9200 0.9800
1.6500 2000 -1.9300 0.9800
1.8500 2000 -1.9400 0.9850
2.0400 2000 -1.4200 0.7050
2.1800 2000 -1.4800 0.7200
2.2600 2000 -1.3200 0.6950
2.2700 2000 -1.6400 0.8750
2.2800 2000 -1.5000 0.8300
2.2900 2000 -1.3700 0.7200
2.3200 2000 -1.5400 0.7750
2.3700 2000 -1.2300 0.0250
2.4400 2000 -1.1400 0.1500
2.5500 2000 -1.0700 0.3950
2.7000 2000 -0.9800 0.3500
2.9000 2000 -0.8600 0.1100
3.2500 2000 -0.7000 0.0800
3.7000 2000 -0.6300 0.0850
4.6000 2000 -0.4800 0.0550
6.2000 2000 -0.4000 0.1250
10.0000 2000 -0.1500 0.0500

0.1000 3000 -2.0000 1.0000
1.4000 3000 -2.0000 1.0000
1.6500 3000 -1.9200 0.9800
1.8500 3000 -1.9000 0.9700
2.0400 3000 -1.6700 0.9000
2.1800 3000 -1.7000 0.9100
2.2600 3000 -1.2500 0.3850
2.2700 3000 -1.5200 0.7600
2.2800 3000 -1.5800 0.8100
2.2900 3000 -1.5000 0.8250
2.3200 3000 -1.3600 0.5850
2.3700 3000 -1.1200 0.2350
2.4400 3000 -1.4600 0.6500
2.5500 3000 -1.0400 0.0600
2.7000 3000 -1.1700 0.2000
2.9000 3000 -0.8900 0.0750
3.2500 3000 -0.6600 0.0850
3.7000 3000 -0.5500 0.2000
4.6000 3000 -0.4600 0.0450
6.2000 3000 -0.2600 0.1150
10.0000 3000 -0.1900 0.0600

0.1000 4000 -2.0000 1.0000
1.4000 4000 -2.0000 1.0000
1.6500 4000 -1.9000 0.9700
1.8500 4000 -1.7700 0.9150
2.0400 4000 -1.6300 0.8750
2.1800 4000 -1.6000 0.8750
2.2600 4000 -1.2300 0.5300
2.2700 4000 -1.3600 0.6400
2.2800 4000 -1.1100 0.0150
2.2900 4000 -1.4200 0.7850
2.3200 4000 -1.1800 0.3500
2.3700 4000 -1.1600 0.3350
2.4400 4000 -1.2400 0.0700
2.5500 4000 -1.0300 0.1750
2.7000 4000 -0.8800 0.1800
2.9000 4000 -0.7900 0.1050
3.2500 4000 -0.7100 0.0150
3.7000 4000 -0.7200 0.0550
4.6000 4000 -0.5400 0.0200
6.2000 4000 -0.3200 0.0300
10.0000 4000 -0.2300 0.0550

0.1000 5000 -2.0000 1.0000
1.4000 5000 -2.0000 1.0000
1.6500 5000 -1.8200 0.9350
1.8500 5000 -1.8400 0.9600
2.0400 5000 -1.6700 0.8700
2.1800 5000 -1.5000 0.8300
2.2600 5000 -1.6200 0.8650
2.2700 5000 -1.3800 0.7600
2.2800 5000 -1.4900 0.7850
2.2900 5000 -1.1700 0.1100
2.3200 5000 -1.2000 0.6300
2.3700 5000 -1.2000 0.2150
2.4400 5000 -1.2600 0.2550
2.5500 5000 -1.2900 0.1750
2.7000 5000 -0.8800 0.0950
2.9000 5000 -0.8600 0.1000
3.2500 5000 -0.6700 0.0450
3.7000 5000 -0.5700 0.0350
4.6000 5000 -0.4200 0.1200
6.2000 5000 -0.3200 0.0350
10.0000 5000 -0.1600 0.0650

0.1000 6000 -2.0000 1.0000
1.4000 6000 -1.9800 0.9950
1.6500 6000 -1.9200 0.9800
1.8500 6000 -1.8900 0.9700
2.0400 6000 -1.7300 0.9250
2.1800 6000 -1.5200 0.8000
2.2600 6000 -1.2300 0.7150
2.2700 6000 -1.5900 0.8400
2.2800 6000 -1.4000 0.6500
2.2900 6000 -1.2000 0.2050
2.3200 6000 -1.2300 0.4100
2.3700 6000 -1.0600 0.0700
2.4400 6000 -1.0300 0.0850
2.5500 6000 -1.2200 0.4500
2.7000 6000 -1.4100 0.7200
2.9000 6000 -0.7800 0.0400
3.2500 6000 -0.8100 0.0900
3.7000 6000 -0.7300 0.0400
4.6000 6000 -0.4700 0.1300
6.2000 6000 -0.3200 0.1200
10.0000 6000 -0.0200 0.0700

0.1000 7000 -2.0000 1.0000
1.4000 7000 -1.9700 0.9900
1.6500 7000 -1.8800 0.9700
1.8500 7000 -1.7400 0.9150
2.0400 7000 -1.7000 0.8800
2.1800 7000 -1.2700 0.4850
2.2600 7000 -1.2600 0.0500
2.2700 7000 -1.4800 0.6100
2.2800 7000 -1.6400 0.8900
2.2900 7000 -1.2600 0.5550
2.3200 7000 -1.1700 0.4250
2.3700 7000 -1.0200 0.3300
2.4400 7000 -1.2500 0.4850
2.5500 7000 -1.4100 0.7150
2.7000 7000 -0.8900 0.1950
2.9000 7000 -0.7000 0.0500
3.2500 7000 -0.7100 0.1400
3.7000 7000 -0.8200 0.0800
4.6000 7000 -0.5000 0.1100
6.2000 7000 -0.3500 0.1450
10.0000 7000 -0.2600 0.0250

0.1000 8000 -2.0000 1.0000
1.4000 8000 -1.9800 0.9950
1.6500 8000 -1.9100 0.9750
1.8500 8000 -1.8700 0.9650
2.0400 8000 -1.5400 0.8450
2.1800 8000 -1.3000 0.3650
2.2600 8000 -1.4300 0.6400
2.2700 8000 -1.3500 0.7100
2.2800 8000 -1.4000 0.7850
2.2900 8000 -1.4700 0.7100
2.3200 8000 -1.1400 0.2350
2.3700 8000 -1.1100 0.1350
2.4400 8000 -0.8600 0.1100
2.5500 8000 -0.9800 0.0350
2.7000 8000 -1.0000 0.0450
2.9000 8000 -1.6400 0.8800
3.2500 8000 -0.7200 0.0400
3.7000 8000 -0.5800 0.0850
4.6000 8000 -0.5000 0.0200
6.2000 8000 -0.3000 0.0600
10.0000 8000 -0.2100 0.0250

0.1000 9000 -2.0000 1.0000
1.4000 9000 -1.9700 0.9900
1.6500 9000 -1.8900 0.9650
1.8500 9000 -1.8200 0.9350
2.0400 9000 -1.7900 0.9400
2.1800 9000 -1.6200 0.8600
2.2600 9000 -1.3200 0.5900
2.2700 9000 -1.4700 0.7500
2.2800 9000 -1.3200 0.7200
2.2900 9000 -1.5200 0.7550
2.3200 9000 -1.5800 0.8550
2.3700 9000 -1.2700 0.1550
2.4400 9000 -1.3000 0.3100
2.5500 9000 -1.0100 0.5150
2.7000 9000 -0.9800 0.1950
2.9000 9000 -0.6800 0.0550
3.2500 9000 -0.7100 0.0300
3.7000 9000 -0.8200 0.1350
4.6000 9000 -0.4800 0.0400
6.2000 9000 -0.3100 0.1250
10.0000 9000 -0.3500 0.0650

0.1000 10000 -2.0000 1.0000
1.4000 10000 -1.9500 0.9850
1.6500 10000 -1.9400 0.9850
1.8500 10000 -1.8900 0.9700
2.0400 10000 -1.6200 0.8550
2.1800 10000 -1.5800 0.8700
2.2600 10000 -1.6400 0.8800
2.2700 10000 -1.3500 0.6850
2.2800 10000 -1.3100 0.7400
2.2900 10000 -1.2100 0.5350
2.3200 10000 -1.2500 0.6050
2.3700 10000 -1.3100 0.6500
2.4400 10000 -1.2500 0.5050
2.5500 10000 -1.2700 0.5450
2.7000 10000 -0.9300 0.1000
2.9000 10000 -0.9800 0.1650
3.2500 10000 -0.6400 0.0500
3.7000 10000 -0.4900 0.0250
4.6000 10000 -0.3000 0.0400
6.2000 10000 -0.4000 0.0550
10.0000 10000 -0.0900 0.0350

0.1000 11000 -2.0000 1.0000
1.4000 11000 -1.9800 0.9950
1.6500 11000 -1.9200 0.9800
1.8500 11000 -1.7700 0.9300
2.0400 11000 -1.6600 0.8850
2.1800 11000 -1.4400 0.7250
2.2600 11000 -1.1900 0.3000
2.2700 11000 -1.3100 0.6900
2.2800 11000 -1.4200 0.8000
2.2900 11000 -1.4000 0.7600
2.3200 11000 -1.4200 0.0250
2.3700 11000 -1.5500 0.8200
2.4400 11000 -1.1300 0.3400
2.5500 11000 -1.0600 0.2550
2.7000 11000 -1.1200 0.5450
2.9000 11000 -0.9600 0.0450
3.2500 11000 -0.6400 0.1800
3.7000 11000 -0.6600 0.0600
4.6000 11000 -0.4900 0.0350
6.2000 11000 -0.2500 0.0600
10.0000 11000 -0.3200 0.0250

0.1000 12000 -2.0000 1.0000
1.4000 12000 -1.9600 0.9900
1.6500 12000 -1.9300 0.9700
1.8500 12000 -1.9100 0.9750
2.0400 12000 -1.7400 0.9200
2.1800 12000 -1.5800 0.8350
2.2600 12000 -1.4200 0.7400
2.2700 12000 -1.4300 0.7150
2.2800 12000 -1.5100 0.7000
2.2900 12000 -1.4500 0.6650
2.3200 12000 -1.2000 0.3050
2.3700 12000 -1.1800 0.1800
2.4400 12000 -1.1500 0.1600
2.5500 12000 -1.2700 0.6550
2.7000 12000 -1.0000 0.2750
2.9000 12000 -0.9500 0.0650
3.2500 12000 -0.6700 0.1450
3.7000 12000 -0.5000 0.1350
4.6000 12000 -0.3800 0.0900
6.2000 12000 -0.4300 0.0500
10.0000 12000 -0.2500 0.0200

0.1000 13000 -2.0000 1.0000
1.4000 13000 -2.0000 1.0000
1.6500 13000 -1.9100 0.9750
1.8500 13000 -1.8400 0.9550
2.0400 13000 -1.5700 0.8400
2.1800 13000 -1.6300 0.8800
2.2600 13000 -1.6800 0.9100
2.2700 13000 -1.4400 0.6900
2.2800 13000 -1.3900 0.6900
2.2900 13000 -1.4300 0.7750
2.3200 13000 -1.1800 0.3250
2.3700 13000 -1.4200 0.6450
2.4400 13000 -1.3200 0.7150
2.5500 13000 -1.0000 0.2700
2.7000 13000 -0.8500 0.0500
2.9000 13000 -0.7600 0.1100
3.2500 13000 -0.6400 0.1000
3.7000 13000 -0.7000 0.0250
4.6000 13000 -0.4100 0.1100
6.2000 13000 -0.2100 0.0550
10.0000 13000 -0.1300 0.0550

0.1000 14000 -2.0000 1.0000
1.4000 14000 -1.9400 0.9850
1.6500 14000 -1.8700 0.9650
1.8500 14000 -1.8800 0.9450
2.0400 14000 -1.4900 0.4900
2.1800 14000 -1.6200 0.8300
2.2600 14000 -1.3900 0.6350
2.2700 14000 -1.2900 0.6150
2.2800 14000 -1.5500 0.8550
2.2900 14000 -1.3800 0.8200
2.3200 14000 -1.5200 0.7150
2.3700 14000 -1.1700 0.3100
2.4400 14000 -1.1800 0.0900
2.5500 14000 -1.1200 0.3950
2.7000 14000 -1.0100 0.1900
2.9000 14000 -0.8500 0.0850
3.2500 14000 -0.6400 0.0550
3.7000 14000 -0.6500 0.0850
4.6000 14000 -0.4300 0.0850
6.2000 14000 -0.3900 0.1150
10.0000 14000 -0.2600 0.0350

0.1000 15000 -2.0000 1.0000
1.4000 15000 -1.9400 0.9850
1.6500 15000 -1.8900 0.9700
1.8500 15000 -1.7800 0.9350
2.0400 15000 -1.6400 0.8350
2.1800 15000 -1.5900 0.8800
2.2600 15000 -1.7700 0.9250
2.2700 15000 -1.5900 0.8500
2.2800 15000 -1.7100 0.9100
2.2900 15000 -1.1900 0.3950
2.3200 15000 -1.4300 0.6700
2.3700 15000 -1.1600 0.3250
2.4400 15000 -1.2000 0.0100
2.5500 15000 -1.0000 0.1100
2.7000 15000 -1.2400 0.6250
2.9000 15000 -0.8500 0.2750
3.2500 15000 -0.6000 0.0950
3.7000 15000 -0.4700 0.0400
4.6000 15000 -0.4300 0.0600
6.2000 15000 -0.3300 0.1000
10.0000 15000 -0.3000 0.0950

0.1000 16000 -2.0000 1.0000
1.4000 16000 -1.9200 0.9800
1.6500 16000 -1.9400 0.9850
1.8500 16000 -1.8700 0.9550
2.0400 16000 -1.7800 0.9350
2.1800 16000 -1.5300 0.8100
2.2600 16000 -1.6300 0.8500
2.2700 16000 -1.0900 0.4550
2.2800 16000 -1.5600 0.8050
2.2900 16000 -1.0900 0.3300
2.3200 16000 -1.6300 0.8550
2.3700 16000 -1.6000 0.8600
2.4400 16000 -0.9400 0.0800
2.5500 16000 -0.8000 0.4200
2.7000 16000 -0.8700 0.0700
2.9000 16000 -0.8900 0.0600
3.2500 16000 -1.0500 0.3900
3.7000 16000 -0.6800 0.0050
4.6000 16000 -0.5100 0.0000
6.2000 16000 -0.3000 0.0050
